Date,Correlation + Volatility,Volatility Only,Correlation + ED,ED Only,AD Only
2024-08-27,-0.22055003552763353,-0.20680536936760197,-0.28324671616517527,-0.26443207473432206,-0.22283331873726997
2024-08-28,-0.4835982404019834,-0.43713218358786277,-0.7674511134804551,-0.72090306409478,-0.716193064358972
2024-08-29,-0.01609448326399532,-0.021210151937745003,-0.440684878968467,-0.44602166318938874,-0.4553674085956638
2024-08-30,0.7794342371184149,0.7899666218605494,0.356883740559244,0.3823071408470824,0.24628623790556858
2024-09-03,-0.4829171556831491,-0.3653509549247591,-1.7203955270001514,-1.5974126076280015,-2.0819115853617176
2024-09-04,-0.7438234244281361,-0.5478183268219472,-2.1105518928429268,-1.9104765881609365,-2.564280483819914
2024-09-05,-1.1677134654570875,-0.9722438298192526,-2.31701756577819,-2.100426997025351,-2.8736278140929605
2024-09-06,-2.417641355002942,-2.1366539311570953,-3.921254555679732,-3.6526645759363707,-4.3671243277604415
2024-09-09,-1.1822712323078965,-0.8843784931630183,-2.556499801278511,-2.266258855039882,-3.000179137526804
2024-09-10,-1.532767855921957,-1.0549511852516291,-3.0712838511857687,-2.6151290191724907,-3.690197054069999
2024-09-11,-1.5211021905248256,-1.0949941684147646,-2.5876448373466143,-2.154998312989398,-3.10299031712018
2024-09-12,-1.1713906614552738,-0.7930162914804972,-2.065235405192589,-1.6776881554660616,-2.5674274197315716
2024-09-13,-0.72727993715338,-0.30984135279820135,-1.7013698108797493,-1.281454780931901,-2.195830064314308
2024-09-16,-0.08667575456816623,0.33467455307729654,-1.1607101795437336,-0.7444667466527166,-1.5875964106133678
2024-09-17,0.05173570775256486,0.34232613779903165,-0.7576090566795757,-0.45913683154492624,-1.1505149253592584
2024-09-18,-0.05251035145364957,0.2407299907532412,-0.8983964808458755,-0.6021258567525556,-1.3265241543731876
2024-09-19,0.9848296877292606,1.1500598162471842,0.7501639188242981,0.9563856275977001,0.33108939593162745
2024-09-20,0.9556729288804133,1.1203254099696913,0.4466792903655259,0.6646859617057244,0.006374893914173896
2024-09-23,1.22716670234706,1.3782371004202432,0.8496331299093773,1.055910687629602,0.28871384423307944
2024-09-24,1.307616158533409,1.5143611157988124,1.0578250890264318,1.319447130739504,0.5081763653958182
2024-09-25,0.6145303185568274,0.8473337622127763,0.3307303795961891,0.6325567247462693,-0.2507227836526793
2024-09-26,0.2883821736689107,0.5521520041882555,-0.16082026384839354,0.19174008696845046,-0.7131807285129299
2024-09-27,0.8297833710162905,1.0486760329151412,0.4441767931890439,0.7412738470059299,-0.16116566425313783
2024-09-30,1.322261619130094,1.5303690443395856,0.9689602040678924,1.2488985703676514,0.3661235897487458
2024-10-01,1.0807184155928296,1.266537231982845,0.7488808483485654,0.9694464311096773,0.12920054592229224
2024-10-02,1.0710476127828716,1.2269576911594138,0.8951340373379857,1.0700663479736194,0.3577408379436653
2024-10-03,0.8066373141704108,0.9292293338707625,0.8887282449034473,1.005823768089642,0.4847517837077042
2024-10-04,1.6215065044096422,1.6812542674651931,2.0200664719310257,2.0815820642078986,1.5756943045612815
2024-10-07,0.8672480962323093,0.9432359021914305,1.465503801847956,1.5228150875655988,1.195548002676694
2024-10-08,0.9804169023285958,1.123950563258047,1.5110082346571074,1.6657986145144577,1.2495857072455152
2024-10-09,1.8288110935339663,2.0420271187736594,2.231438999193869,2.4521020147600714,1.9919896295829131
2024-10-10,1.6846863468115814,1.8091922337472255,2.2507861835441734,2.377029204102188,2.007930123378876
2024-10-11,2.4506830900961285,2.511233462979834,2.81661367653947,2.8979370387614667,2.7637402780488873
2024-10-14,2.974198445589371,3.029080144688767,3.347222166152375,3.4343498509890047,3.3216028046307855
2024-10-15,2.2652805822670707,2.402145359317287,2.2509909818995144,2.456336780318047,2.2574932071311116
2024-10-16,2.697366302427029,2.856330658126849,2.7615829852685625,2.9846691664769276,2.764754225331645
2024-10-17,2.634265885571341,2.7266193926904325,2.8470657084032958,3.0072021407898664,2.887955585609192
2024-10-18,2.851227863881456,2.957012407827486,2.9998081351992667,3.1758829852741366,3.0230224819581597
2024-10-21,2.218418011969314,2.2845172843253936,2.659918772545611,2.7885407252808747,2.7159125014877716
2024-10-22,2.5115204874341712,2.5592340733120222,2.9905700362894194,3.0956792647648834,3.0740674130993906
2024-10-23,1.9185519220612512,2.0599599200974428,2.2376926024835653,2.3975636424526714,2.364398024194414
